sim_index,c1_actual,c2_actual,c3_actual,i1_expected,i2_expected,i3_expected,c1_to_i1,c1_to_i2,c1_to_i3,c2_to_i1,c2_to_i2,c2_to_i3,c3_to_i1,c3_to_i2,c3_to_i3,i1_counted,i2_counted,i3_counted,c1_computed,c2_computed,c3_computed,c1_percent_error,c2_percent_error,c3_percent_error,max_percent_error
42,333333,333333,333334,333333,333333,333334,166321,83338,83674,83743,166166,83424,83430,83566,166338,333494,333070,333436,333976,332280,333744,0.1929001929001929,0.3159003159003159,0.122999754000492,0.3159003159003159
43,333333,333333,333334,333333,333333,333334,166152,83756,83425,83278,166935,83120,83287,82878,167169,332717,333569,333714,330868,334276,334856,0.7395007395007395,0.2829002829002829,0.45659908680182637,0.7395007395007395
44,333333,333333,333334,333333,333333,333334,166742,83250,83341,83494,166415,83424,83522,83286,166526,333758,332951,333291,335032,331804,333164,0.5097005097005097,0.4587004587004587,0.050999898000204,0.5097005097005097
45,333333,333333,333334,333333,333333,333334,166564,83603,83166,83089,166677,83567,82904,83908,166522,332557,334188,333255,330228,336752,333020,0.9315009315009315,1.0257010257010257,0.0941998116003768,1.0257010257010257
46,333333,333333,333334,333333,333333,333334,166983,83017,83333,83152,166890,83291,83474,83188,166672,333609,333095,333296,334436,332380,333184,0.3309003309003309,0.2859002859002859,0.04499991000018,0.3309003309003309
47,333333,333333,333334,333333,333333,333334,166493,83534,83306,83307,166853,83173,83653,83252,166429,333453,333639,332908,333812,334556,331632,0.1437001437001437,0.3669003669003669,0.5105989788020424,0.5105989788020424
48,333333,333333,333334,333333,333333,333334,166264,83588,83481,83441,166602,83290,83463,83479,166392,333168,333669,333163,332672,334676,332652,0.1983001983001983,0.4029004029004029,0.2045995908008184,0.4029004029004029
49,333333,333333,333334,333333,333333,333334,166391,83618,83324,83535,166628,83170,83835,83076,166423,333761,333322,332917,335044,333288,331668,0.5133005133005133,0.0135000135000135,0.4997990004019992,0.5133005133005133
50,333333,333333,333334,333333,333333,333334,166725,83097,83511,83376,166204,83753,83584,83365,166385,333685,332666,333649,334740,330664,334596,0.4221004221004221,0.8007008007008007,0.3785992428015144,0.8007008007008007
51,333333,333333,333334,333333,333333,333334,165916,83645,83772,83232,166478,83623,83422,82989,166923,332570,333112,334318,330280,332448,337272,0.9159009159009159,0.2655002655002655,1.1813976372047257,1.1813976372047257
52,333333,333333,333334,333333,333333,333334,166475,83420,83438,83074,166729,83530,83054,82936,167344,332603,333085,334312,330412,332340,337248,0.8763008763008763,0.29790029790029793,1.1741976516046968,1.1741976516046968
53,333333,333333,333334,333333,333333,333334,166312,83487,83534,83503,166263,83567,83699,83104,166531,333514,332854,333632,334056,331416,334528,0.2169002169002169,0.5751005751005751,0.35819928360143277,0.5751005751005751
54,333333,333333,333334,333333,333333,333334,166663,83458,83212,83561,166442,83330,82836,83232,167266,333060,333132,333808,332240,332528,335232,0.3279003279003279,0.2415002415002415,0.5693988612022776,0.5693988612022776
55,333333,333333,333334,333333,333333,333334,166838,83468,83027,83460,166333,83540,83180,83765,166389,333478,333566,332956,333912,334264,331824,0.1737001737001737,0.2793002793002793,0.452999094001812,0.452999094001812
56,333333,333333,333334,333333,333333,333334,167423,82919,82991,83504,166567,83262,83194,83047,167093,334121,332533,333346,336484,330132,333384,0.9453009453009453,0.9603009603009603,0.01499997000006,0.9603009603009603
57,333333,333333,333334,333333,333333,333334,167162,82933,83238,82772,167141,83420,83342,83188,166804,333276,333262,333462,333104,333048,333848,0.0687000687000687,0.0855000855000855,0.1541996916006168,0.1541996916006168
58,333333,333333,333334,333333,333333,333334,166855,83381,83097,83387,166518,83428,83168,83643,166523,333410,333542,333048,333640,334168,332192,0.0921000921000921,0.2505002505002505,0.3425993148013704,0.3425993148013704
59,333333,333333,333334,333333,333333,333334,166710,83252,83371,83731,166289,83313,83374,83373,166587,333815,332914,333271,335260,331656,333084,0.5781005781005781,0.5031005031005031,0.0749998500003,0.5781005781005781
60,333333,333333,333334,333333,333333,333334,166804,83169,83360,83855,166319,83159,83388,83642,166304,334047,333130,332823,336188,332520,331292,0.8565008565008565,0.2439002439002439,0.6125987748024504,0.8565008565008565
61,333333,333333,333334,333333,333333,333334,167173,82658,83502,83334,166816,83183,83123,82999,167212,333630,332473,333897,334520,329892,335588,0.3561003561003561,1.0323010323010322,0.6761986476027048,1.0323010323010322
62,333333,333333,333334,333333,333333,333334,166882,83207,83244,83316,166608,83409,83581,83350,166403,333779,333165,333056,335116,332660,332224,0.5349005349005349,0.2019002019002019,0.33299933400133197,0.5349005349005349
63,333333,333333,333334,333333,333333,333334,166485,83491,83357,83153,166452,83728,83384,83261,166689,333022,333204,333774,332088,332816,335096,0.3735003735003735,0.1551001551001551,0.5285989428021144,0.5285989428021144
64,333333,333333,333334,333333,333333,333334,166378,83072,83883,83310,167218,82805,83305,83101,166928,332993,333391,333616,331972,333564,334464,0.4083004083004083,0.0693000693000693,0.338999322001356,0.4083004083004083
65,333333,333333,333334,333333,333333,333334,166388,83599,83346,83457,166639,83237,83695,82831,166808,333540,333069,333391,334160,332276,333564,0.2481002481002481,0.3171003171003171,0.068999862000276,0.3171003171003171
66,333333,333333,333334,333333,333333,333334,166182,83707,83444,83377,166385,83571,83283,83594,166457,332842,333686,333472,331368,334744,333888,0.5895005895005895,0.4233004233004233,0.1661996676006648,0.5895005895005895
67,333333,333333,333334,333333,333333,333334,165876,83789,83668,82981,166630,83722,83760,83152,166422,332617,333571,333812,330468,334284,335248,0.8595008595008595,0.2853002853002853,0.5741988516022968,0.8595008595008595
68,333333,333333,333334,333333,333333,333334,166430,83623,83280,83116,167099,83118,83126,83119,167089,332672,333841,333487,330688,335364,333948,0.7935007935007935,0.6093006093006093,0.1841996316007368,0.7935007935007935
69,333333,333333,333334,333333,333333,333334,166452,83509,83372,83594,166802,82937,83510,83505,166319,333556,333816,332628,334224,335264,330512,0.2673002673002673,0.5793005793005793,0.8465983068033864,0.8465983068033864
70,333333,333333,333334,333333,333333,333334,166379,83414,83540,83048,166904,83381,83407,83319,166608,332834,333637,333529,331336,334548,334116,0.5991005991005991,0.3645003645003645,0.2345995308009384,0.5991005991005991
71,333333,333333,333334,333333,333333,333334,166480,83297,83556,82861,167111,83361,83102,83470,166762,332443,333878,333679,329772,335512,334716,1.0683010683010683,0.6537006537006537,0.4145991708016584,1.0683010683010683
72,333333,333333,333334,333333,333333,333334,166576,83403,83354,83482,166991,82860,83625,83457,166252,333683,333851,332466,334732,335404,329864,0.4197004197004197,0.6213006213006212,1.040997918004164,1.040997918004164
73,333333,333333,333334,333333,333333,333334,167018,82967,83348,83377,166302,83654,83165,83300,166869,333560,332569,333871,334240,330276,335484,0.2721002721002721,0.9171009171009171,0.64499871000258,0.9171009171009171
74,333333,333333,333334,333333,333333,333334,166348,83215,83770,83974,166332,83027,83400,83435,166499,333722,332982,333296,334888,331928,333184,0.4665004665004665,0.4215004215004215,0.04499991000018,0.4665004665004665
