sim_index,c1_actual,c2_actual,c3_actual,c4_actual,c5_actual,c6_actual,i1_expected,i2_expected,i3_expected,i4_expected,i5_expected,i6_expected,c1_to_i1,c1_to_i2,c1_to_i3,c1_to_i4,c1_to_i5,c1_to_i6,c2_to_i1,c2_to_i2,c2_to_i3,c2_to_i4,c2_to_i5,c2_to_i6,c3_to_i1,c3_to_i2,c3_to_i3,c3_to_i4,c3_to_i5,c3_to_i6,c4_to_i1,c4_to_i2,c4_to_i3,c4_to_i4,c4_to_i5,c4_to_i6,c5_to_i1,c5_to_i2,c5_to_i3,c5_to_i4,c5_to_i5,c5_to_i6,c6_to_i1,c6_to_i2,c6_to_i3,c6_to_i4,c6_to_i5,c6_to_i6,i1_counted,i2_counted,i3_counted,i4_counted,i5_counted,i6_counted,c1_computed,c2_computed,c3_computed,c4_computed,c5_computed,c6_computed,c1_percent_error,c2_percent_error,c3_percent_error,c4_percent_error,c5_percent_error,c6_percent_error,max_percent_error
14,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47416,23702,24009,23684,24061,23794,23725,47561,24088,23740,23565,23987,23670,23834,47892,23770,23586,23914,23978,23634,23912,47422,23830,23890,24083,23893,23787,23869,47497,23537,23804,23996,23731,23917,23684,47538,166676,166620,167419,166402,166223,166660,166732,166341,171920,164818,163568,166620,0.0396001584006336,0.19500078000312002,3.1524126096504386,1.1088044352177409,1.858807435229741,0.02999940001199976,3.1524126096504386
15,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47557,23990,23706,24014,23722,23677,23705,48239,23778,23778,23571,23595,23860,23585,47953,23668,23668,23932,23923,23654,23772,47713,23776,23828,23864,23724,23822,23656,47784,23816,23830,23670,23798,23914,23789,47669,166739,166862,166829,166743,166310,166517,167172,168031,167800,167200,164176,165622,0.3036012144048576,0.8190032760131041,0.6804027216108864,0.32040128160512643,1.4940059760239042,0.628787424251515,1.4940059760239042
16,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47474,23690,23876,23934,23623,24069,23748,47484,23980,23871,23601,23982,23818,23691,47591,23845,23929,23792,23926,23994,23505,47854,23880,23507,24043,23735,23962,23615,47452,23859,23800,23846,23896,23661,23938,47529,166809,166440,166810,166780,166423,166738,167661,165084,167668,167458,164965,167165,0.5970023880095521,0.9492037968151873,0.6012024048096193,0.4752019008076032,1.0206040824163296,0.29699406011879764,1.0206040824163296
17,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47605,23856,23872,23709,23923,23701,23630,47541,23947,23834,23801,23913,23830,23724,47490,23944,23822,23856,23866,24007,23753,47618,23557,23865,23646,24165,23873,23686,47498,23798,23727,23781,23706,23699,23979,47778,166304,167074,166641,166490,166580,166911,164134,169511,166487,165433,166061,168373,1.5192060768243072,1.707006828027312,0.1074004296017184,0.7398029592118368,0.363001452005808,1.0217795644087118,1.707006828027312
18,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47467,24156,23742,23900,23713,23688,23756,47318,23684,23943,23941,24024,23678,23844,47626,23880,23934,23704,23754,23864,24018,47322,23940,23768,23652,23943,23718,23800,47850,23703,24180,23711,23750,23743,23796,47490,166487,166836,166538,166588,167174,166377,165412,167849,165768,166117,170209,164644,0.7524030096120384,0.7098028392113569,0.5388021552086208,0.3294013176052704,2.125808503234013,1.2155756884862303,2.125808503234013
19,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,48014,23500,23853,23945,23547,23807,23867,47631,23487,23769,24092,23820,23625,23985,47765,23604,23786,23901,23993,23676,23708,47851,23648,23790,24042,23747,23708,23924,47553,23692,24030,23886,23874,23543,23817,47520,167571,166425,166395,166636,166443,166530,172982,164979,164770,166453,165105,165712,3.789615158460634,1.0122040488161952,1.1376045504182017,0.1278005112020448,0.9366037464149857,0.5747885042299155,3.789615158460634
20,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47721,23826,23739,23892,23885,23603,23979,47884,23260,23876,23722,23945,23687,23852,47719,23944,23583,23881,24064,23542,23754,47635,23980,23691,23791,23888,23944,23856,47443,23744,23764,23950,23938,23680,23754,47584,167006,166942,166354,166883,166367,166448,169036,168589,164483,168177,164574,165140,1.422005688022752,1.153804615218461,1.309805239220957,0.9066036264145056,1.2552050208200833,0.9179816403671927,1.422005688022752
21,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47645,24025,23644,23833,23937,23582,23642,47294,24012,24058,23698,23962,23952,23937,47280,24021,23714,23762,23830,23551,23962,47708,23876,23739,23811,23932,23762,23536,47851,23774,23842,23850,23709,23837,23656,47776,166722,166589,166369,166993,166732,166595,167053,166124,164588,168946,167123,166166,0.2322009288037152,0.3252013008052032,1.246804987219949,1.3680054720218882,0.2742010968043872,0.3023939521209576,1.3680054720218882
22,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47660,23680,23890,23898,23819,23719,23548,47761,23767,23780,23854,23956,23570,23585,47901,23897,23734,23979,23925,23957,23747,47614,23758,23665,23665,23871,23667,23688,47913,23862,23689,23602,23828,23993,23653,47905,166057,166456,166800,166870,166731,167086,162409,165196,167598,168087,167116,169595,2.5542102168408674,0.8820035280141121,0.5592022368089472,0.8526034104136416,0.27000108000432,1.7549649007019859,2.5542102168408674
23,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47687,23931,23504,23877,23727,23940,23522,47731,23932,24021,23810,23650,23700,23927,47642,23849,23780,23768,23636,23585,23581,47981,24006,23877,24077,23821,23865,23527,47745,23631,23820,23978,23891,23812,23735,47434,166442,166973,166415,167067,166803,166300,165098,168806,164909,169462,167619,164106,0.9408037632150529,1.284005136020544,1.0542042168168673,1.6776067104268417,0.5718022872091488,1.5383692326153477,1.6776067104268417
24,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47733,23812,23791,23817,23671,23842,23635,48006,23692,23869,23754,23710,23860,23810,47447,23918,23926,23705,23680,23848,24025,47748,23569,23796,23771,23871,23504,23836,47987,23697,23762,23915,23700,23952,23849,47492,166441,167262,166159,167140,166756,166242,165091,170824,163122,169972,167291,163701,0.9450037800151201,2.4948099792399168,2.1264085056340227,1.9836079344317377,0.375001500006,1.7813643727125457,2.4948099792399168
25,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47928,23766,23682,23727,23602,23961,24109,47471,23970,23758,23768,23590,23828,23761,47745,23551,23744,24037,23562,23934,23781,47806,23904,23679,23904,23759,23732,23734,47935,23602,23637,23791,24095,23828,23824,47495,166968,166482,167005,166404,166777,166364,168771,165377,169029,164832,167437,164553,1.263005052020208,0.7734030936123745,1.417805671222685,1.1004044016176064,0.46260185040740165,1.2701745965080697,1.417805671222685
26,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47762,24058,23751,23899,23420,23776,23846,47624,23830,23825,23896,23645,24054,23838,47988,23577,23505,23704,23648,23852,23893,47692,23924,23657,23691,23839,23935,23735,47835,23631,23582,23873,24036,23874,23648,47657,166583,167084,167433,166602,166228,166070,166082,169581,172018,166215,163603,162500,0.3504014016056064,1.7490069960279842,3.2112128448513793,0.2706010824043296,1.8378073512294049,2.50194996100078,3.2112128448513793
27,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47516,24060,23712,23998,23690,23690,23622,47483,23979,23749,23925,23908,23566,23889,47574,23968,23960,23709,23957,23990,23991,47396,23591,23741,23768,23730,23782,23684,47748,23954,23964,23730,23847,23677,23862,47590,166393,166882,166885,166472,166776,166592,164756,168170,168191,165307,167430,166145,1.1460045840183362,0.9024036096144384,0.9150036600146401,0.8154032616130464,0.45840183360733444,0.3149937001259975,1.1460045840183362
28,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47341,23708,23731,23953,23960,23973,23693,47910,23697,24009,23537,23820,23747,23892,47745,23866,23739,23677,23897,23833,23738,47476,23938,23784,23821,23821,23942,23734,47783,23565,23898,23788,23759,23746,23888,47591,166397,166952,166612,166784,166845,166410,164784,168659,166285,167486,167912,164874,1.1292045168180673,1.195804783219133,0.22860091440365762,0.49200196800787205,0.7476029904119617,1.0775784484310313,1.195804783219133
29,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,47740,23853,23850,23700,23916,23607,23860,47618,23775,23984,23712,23717,23833,23739,47677,23763,23810,23844,23930,23684,23705,47636,23935,23776,23696,23574,23761,23853,47656,24126,24107,23809,23820,23925,24108,46901,167166,166277,166588,166861,167137,165971,170154,163946,166117,168024,169951,161809,2.092808371233485,1.632006528026112,0.3294013176052704,0.8148032592130369,1.9710078840315362,2.916541669166617,2.916541669166617
30,166666,166666,166666,166666,166666,166670,166667,166667,166667,166667,166667,166667,48007,23846,23778,23560,23767,23708,23680,47734,23791,23938,23830,23693,23824,23778,47526,23833,23987,23718,23724,23817,23888,47704,23713,23820,23539,23669,23949,23823,47635,24051,23726,23752,23834,23718,23878,47762,166500,166596,166766,166576,166810,166752,165503,166173,167360,166034,167668,167263,0.6978027912111648,0.2958011832047328,0.4164016656066624,0.37920151680606723,0.6012024048096193,0.35579288414231713,0.6978027912111648
