sim_index,c1_actual,c2_actual,c3_actual,c4_actual,c5_actual,i1_expected,i2_expected,i3_expected,i4_expected,i5_expected,c1_to_i1,c1_to_i2,c1_to_i3,c1_to_i4,c1_to_i5,c2_to_i1,c2_to_i2,c2_to_i3,c2_to_i4,c2_to_i5,c3_to_i1,c3_to_i2,c3_to_i3,c3_to_i4,c3_to_i5,c4_to_i1,c4_to_i2,c4_to_i3,c4_to_i4,c4_to_i5,c5_to_i1,c5_to_i2,c5_to_i3,c5_to_i4,c5_to_i5,i1_counted,i2_counted,i3_counted,i4_counted,i5_counted,c1_computed,c2_computed,c3_computed,c4_computed,c5_computed,c1_percent_error,c2_percent_error,c3_percent_error,c4_percent_error,c5_percent_error,max_percent_error
76,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,67003,33159,33264,33199,33375,33390,66766,33232,33383,33229,33254,33442,66554,33491,33259,33619,33356,33269,66506,33250,33296,33245,33437,33446,66576,200562,199968,199756,200025,199689,203380,199808,198532,200150,198129,1.69,0.096,0.734,0.075,0.9355,1.69
77,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66785,33109,33360,33347,33399,33777,66367,33437,33355,33064,33273,33374,66462,33096,33795,33409,33125,33385,66492,33589,33014,33576,33280,33679,66451,200258,199551,199924,199969,200298,201552,197299,199543,199814,201792,0.776,1.3505,0.2285,0.093,0.896,1.3505
78,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66670,33370,33491,33297,33172,32997,66776,33250,33578,33399,33435,33354,66233,33339,33639,33564,33353,33362,66499,33222,33043,33571,33498,33342,66546,199709,200424,199834,200055,199978,198250,202550,199002,200331,199868,0.875,1.275,0.499,0.1655,0.066,1.275
79,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66909,33356,33399,33006,33330,33558,66092,33646,33336,33368,33216,33154,66557,33481,33592,33345,33549,33226,66533,33347,33599,33049,33382,33562,66408,200627,199200,200210,199918,200045,203771,195188,201263,199507,200271,1.8855,2.406,0.6315,0.2465,0.1355,2.406
80,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66430,33489,33394,33541,33146,33561,66291,33302,33361,33485,33281,33379,66766,33197,33377,33612,33194,33178,66615,33401,33198,33373,33759,33268,66402,200082,199726,200399,199982,199811,200493,198352,202400,199892,198863,0.2465,0.824,1.2,0.054,0.5685,1.2
81,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66443,33189,33307,33329,33732,32973,66917,33398,33365,33347,33423,33051,66957,33341,33228,33571,33414,33245,66190,33580,33217,33603,33365,33187,66628,199627,200174,200272,199412,200515,197756,201047,201636,196463,203098,1.122,0.5235,0.818,1.7685,1.549,1.7685
82,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66633,33237,33379,33473,33278,33265,66604,33150,33470,33511,33184,33470,66350,33695,33301,33292,33480,33030,66996,33202,33336,33648,33276,33474,66266,199710,200439,199185,201108,199558,198256,202641,195098,206665,197341,0.872,1.3205,2.451,3.3325,1.3295,3.3325
83,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66502,33199,33274,33653,33372,33334,66788,33447,33194,33237,33554,33269,66711,33370,33096,33213,33198,33339,66978,33272,33513,32921,33598,33252,66716,200116,199375,200369,200447,199693,200698,196241,202220,202689,198153,0.349,1.8795,1.11,1.3445,0.9235,1.8795
84,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66407,33334,33250,33427,33582,33433,66825,33231,33232,33279,33460,33454,66754,33085,33247,33141,33424,33403,66818,33214,33272,33424,33223,33525,66556,199713,200461,199861,200087,199878,198274,202773,199164,200523,199266,0.863,1.3865,0.418,0.2615,0.367,1.3865
85,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66863,33145,33297,33439,33256,33245,66988,33156,33374,33237,33329,33677,66840,32959,33195,33723,33458,33346,66408,33065,33182,33139,33329,33313,67037,200342,200407,199968,199493,199790,202057,202448,199808,196950,198737,1.0285,1.224,0.096,1.525,0.6315,1.525
86,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66686,33274,33598,33535,32907,33230,66618,33450,33439,33263,33104,33511,66790,33367,33228,33332,33465,33129,66645,33429,33415,33328,33465,33583,66209,199767,200196,200432,200569,199036,198598,201179,202598,203423,194202,0.701,0.5895,1.299,1.7115,2.899,2.899
87,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66559,33216,33546,33267,33412,33588,66946,32941,33412,33113,33167,33614,66586,33352,33281,33813,33316,33336,66434,33101,33318,33469,33126,33489,66598,200445,200561,199535,199954,199505,202677,203374,197203,199723,197023,1.3385,1.687,1.3985,0.1385,1.4885,1.687
88,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,66709,33334,33559,33292,33106,33412,66363,33323,33525,33377,33374,33118,66787,33236,33485,33073,33224,33265,67171,33267,33004,33388,33459,33260,66889,199572,199427,200393,200484,200124,197426,196553,202364,202911,200746,1.287,1.7235,1.182,1.4555,0.373,1.7235
